Legs
front lunges
reverse lunges
reverse lunges with front kick
skaters
curtsy lunges
Squats
Pulse squats
pistol squats
jump squats
tiptoe squats
sumo squats
squat jacks
jump lunges
jump side lunges
high knees
calf raises
Plie calf raises
wall sits
fire hydrants
donkey kicks
jump knee tucks
duck walk
frog hops
butt kicks
side to side hops
lateral high knees
ankle taps 
star jump
Kicks
Hip thrusts 
Glute Bridge with march front and back
Bulgarian split squats
clamshells
Glute bridge hold
glute bridge with march side to side
